Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01311","Avocados","1991","1991","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01311","Avocados","1991","1991","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01311","Avocados","1992","1992","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01311","Avocados","1992","1992","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01311","Avocados","1993","1993","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01311","Avocados","1993","1993","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01311","Avocados","1994","1994","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01311","Avocados","1994","1994","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01311","Avocados","1995","1995","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01311","Avocados","1995","1995","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01311","Avocados","1996","1996","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01311","Avocados","1996","1996","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01311","Avocados","1997","1997","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01311","Avocados","1997","1997","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01311","Avocados","1998","1998","ha","400","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","01311","Avocados","1998","1998","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01311","Avocados","1998","1998","t","3000","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01311","Avocados","1999","1999","ha","400","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","01311","Avocados","1999","1999","kg/ha","8750","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01311","Avocados","1999","1999","t","3500","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01311","Avocados","2000","2000","ha","450","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","01311","Avocados","2000","2000","kg/ha","7777.8","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01311","Avocados","2000","2000","t","3500","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01311","Avocados","2001","2001","ha","450","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","01311","Avocados","2001","2001","kg/ha","7777.8","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01311","Avocados","2001","2001","t","3500","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01311","Avocados","2002","2002","ha","450","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","01311","Avocados","2002","2002","kg/ha","8888.9","E","Estimated value",""
